key,enabled,identity,password,username
user-account-technician-01,true,"UserIdentity{name: 'Javier', surname: 'Del Pozo', email: 'jdlpozo@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Jesus', surname: 'אבטיח', email: 'Jesus@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Jaime', surname: '之乎路 ᏥᏲᏎᎭ', email: 'jaime@acme.com'}",technician3,technician3
user-account-manager-01,true,"UserIdentity{name: 'Eugenia', surname: 'Berral', email: 'eu@acme.com'}",manager1,manager1
user-account-manager-03,true,"UserIdentity{name: 'Carlos', surname: 'Alonso', email: 'carlosalons@acme.com'}",manager3,manager3
user-account-manager-02,true,"UserIdentity{name: 'Carla', surname: 'Medrano', email: 'carlamedrano@acme.com'}",manager2,manager2
user-account-member-01,true,"UserIdentity{name: 'Ana', surname: 'Rodriguez', email: 'ana@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Carlos', surname: 'Martinez', email: 'carlos@acme.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'Laura', surname: 'Sanchez', email: 'laura@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: 'David', surname: 'Garcia', email: 'david@acme.com'}",member4,member4
user-account-member,true,"UserIdentity{name: 'Elena', surname: 'Lopez', email: 'elena@acme.com'}",member,member
user-account-customer-01,true,"UserIdentity{name: 'Juan', surname: 'Suarez', email: 'juanito@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Isa', surname: 'Chanche', email: 'chabela@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Hola', surname: 'José', email: 'meryy@acme.com'}",customer3,customer3
user-account-customer-04,true,"UserIdentity{name: 'Adios', surname: 'Hola', email: 'meryy@acme.com'}",customer4,customer4
user-account-customer-05,true,"UserIdentity{name: 'Buenas', surname: 'Me', email: 'meryy@acme.com'}",customer5,customer5
user-account-customer-06,true,"UserIdentity{name: 'Noches', surname: 'Hola', email: 'meryy@acme.com'}",customer6,customer6
user-account-customer-07,true,"UserIdentity{name: 'Me', surname: 'Cononcerte', email: 'meryy@acme.com'}",customer7,customer7
user-account-customer-08,true,"UserIdentity{name: 'Llamo', surname: 'Me', email: 'meryy@acme.com'}",customer8,customer8
user-account-customer-09,true,"UserIdentity{name: 'Pepe', surname: 'Adios', email: 'meryy@acme.com'}",customer9,customer9
user-account-customer-10,true,"UserIdentity{name: 'Encantado', surname: 'Cononcerte', email: 'meryy@acme.com'}",customer10,customer10
user-account-customer-11,true,"UserIdentity{name: 'De', surname: 'José', email: 'meryy@acme.com'}",customer11,customer11
user-account-customer-12,true,"UserIdentity{name: 'Cononcerte', surname: 'José', email: 'meryy@acme.com'}",customer12,customer12
user-account-customer-13,true,"UserIdentity{name: 'Antonio', surname: 'Adios', email: 'meryy@acme.com'}",customer13,customer13
user-account-customer-14,true,"UserIdentity{name: 'José', surname: 'Me', email: 'meryy@acme.com'}",customer14,customer14
user-account-customer-15,true,"UserIdentity{name: 'José', surname: 'Me', email: 'meryy@acme.com'}",customer15,customer15
user-account-customer-16,true,"UserIdentity{name: 'José', surname: 'Me', email: 'meryy@acme.com'}",customer16,customer16
user-account-customer-17,true,"UserIdentity{name: 'José', surname: 'Me', email: 'meryy@acme.com'}",customer17,customer17
user-account-customer-18,true,"UserIdentity{name: 'José', surname: 'Me', email: 'meryy@acme.com'}",customer18,customer18
